,Forearms,Biceps,Triceps,Deltoids,Front/Anterior Delt,Rear/Posterior Delt,Side/Lateral Delt,Neck,Traps,Upper Traps,Mid Traps,Lower Traps,Upper Back,Middle Back,Lower Back,Lats,Pectorals,Obliques,Abs,Glutes,Adductors,Abductors,Quads,Hamstrings,Shins,Calves
Conventional Deadlift,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Sumo Deadlift,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Romanian Deadlift,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Stiff-Leg Deadlift,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Deficit Deadlift,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Block/Pin Pull Deadlift,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Rack Pull,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Trap-Bar Deadlift (high-handle),0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Trap-Bar Deadlift (low-handle),0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Single-Leg Romanian Deadlift,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Good Morning (barbell),0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Glute-Ham Raise,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.35,0.75,0.75,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.35
Walking Lunge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.75,0.75,0.75,1.0,0.55,0.55,0.35
Reverse Lunge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.75,0.75,0.75,1.0,0.55,0.55,0.35
Forward Lunge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.75,0.75,0.75,1.0,0.55,0.55,0.35
Bulgarian Split Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.75,0.75,0.75,1.0,0.55,0.55,0.35
Rear-Foot-Elevated Split Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.75,0.75,0.75,1.0,0.55,0.55,0.35
"Step-Up (high box, loaded)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.75,0.75,0.75,1.0,0.55,0.55,0.35
Single-Leg Squat / Pistol Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.75,0.75,0.75,1.0,0.55,0.55,0.35
Barbell Hip Thrust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.35,1.0,0.55,0.0,0.0,0.55,0.0,0.0
Barbell Glute Bridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.35,1.0,0.55,0.0,0.0,0.55,0.0,0.0
Single-Leg Hip Thrust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.35,1.0,0.55,0.0,0.0,0.55,0.0,0.0
Flat Barbell Bench Press,0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flat Dumbbell Bench Press,0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Incline Barbell Bench Press,0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Incline Dumbbell Bench Press,0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Decline Bench Press,0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Close-Grip Bench Press,0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor Press,0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Board Press / Pin Press,0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoto Press,0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weighted Push-Up,0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parallel Bar Dips (chest-focused),0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parallel Bar Dips (tricep-focused),0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ring Dips,0.0,0.0,0.75,0.55,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing Barbell Overhead Press,0.0,0.0,0.75,1.0,1.0,0.0,0.55,0.0,0.0,0.55,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing Dumbbell Overhead Press,0.0,0.0,0.75,1.0,1.0,0.0,0.55,0.0,0.0,0.55,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seated Barbell Overhead Press,0.0,0.0,0.75,1.0,1.0,0.0,0.55,0.0,0.0,0.55,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seated Dumbbell Overhead Press,0.0,0.0,0.75,1.0,1.0,0.0,0.55,0.0,0.0,0.55,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Push Press,0.0,0.0,0.75,1.0,1.0,0.0,0.55,0.0,0.0,0.55,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Push Jerk,0.0,0.0,0.75,1.0,1.0,0.0,0.55,0.0,0.0,0.55,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Split Jerk,0.0,0.0,0.75,1.0,1.0,0.0,0.55,0.0,0.0,0.55,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Handstand Push-Up,0.0,0.0,0.75,1.0,1.0,0.0,0.55,0.0,0.0,0.55,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viking Press,0.0,0.0,0.75,1.0,1.0,0.0,0.55,0.0,0.0,0.55,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bent-Over Barbell Row (overhand),0.55,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.55,1.0,0.75,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bent-Over Barbell Row (underhand),0.55,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.55,1.0,0.75,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pendlay Row,0.55,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.55,1.0,0.75,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yates Row,0.55,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.55,1.0,0.75,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chest-Supported Row,0.55,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.55,1.0,0.75,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-Bar Row,0.55,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.55,1.0,0.75,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meadows Row,0.55,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.55,1.0,0.75,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seated Cable Row,0.55,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.55,1.0,0.75,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dumbbell Row,0.55,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.55,1.0,0.75,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inverted Row,0.55,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.55,1.0,0.75,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pull-Up (overhand grip),0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.35,0.75,0.75,0.0,1.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chin-Up (underhand grip),0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.35,0.75,0.75,0.0,1.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neutral-Grip Pull-Up,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.35,0.75,0.75,0.0,1.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weighted Pull-Up,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.35,0.75,0.75,0.0,1.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weighted Chin-Up,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.35,0.75,0.75,0.0,1.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commando Pull-Up,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.35,0.75,0.75,0.0,1.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-Sit Pull-Up,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.35,0.75,0.75,0.0,1.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muscle-Up,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.35,0.75,0.75,0.0,1.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Power Clean,0.75,0.0,0.0,0.75,0.0,0.0,0.35,0.35,0.0,1.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.75,0.75,0.55,0.55
Hang Power Clean,0.75,0.0,0.0,0.75,0.0,0.0,0.35,0.35,0.0,1.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.75,0.75,0.55,0.55
Clean Pull,0.75,0.0,0.0,0.75,0.0,0.0,0.35,0.35,0.0,1.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.75,0.75,0.55,0.55
Clean and Jerk,0.75,0.0,0.0,0.75,0.0,0.0,0.35,0.35,0.0,1.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.75,0.75,0.55,0.55
Power Snatch,0.75,0.0,0.0,0.75,0.0,0.0,0.35,0.35,0.0,1.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.75,0.75,0.55,0.55
Hang Power Snatch,0.75,0.0,0.0,0.75,0.0,0.0,0.35,0.35,0.0,1.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.75,0.75,0.55,0.55
Snatch Pull,0.75,0.0,0.0,0.75,0.0,0.0,0.35,0.35,0.0,1.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.75,0.75,0.55,0.55
Clean High Pull,0.75,0.0,0.0,0.75,0.0,0.0,0.35,0.35,0.0,1.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.75,0.75,0.55,0.55
Barbell Complex,0.75,0.0,0.0,0.75,0.0,0.0,0.35,0.35,0.0,1.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.75,0.75,0.55,0.55
Thruster,0.75,0.0,0.0,0.75,0.0,0.0,0.35,0.35,0.0,1.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.75,0.75,0.55,0.55
Devil’s Press,0.75,0.0,0.0,0.75,0.0,0.0,0.35,0.35,0.0,1.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.75,0.75,0.55,0.55
Farmer’s Walk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,1.0,0.75,0.55,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.0,0.0,0.55,0.55,0.35,0.55
Suitcase Carry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,1.0,0.75,0.55,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.0,0.0,0.55,0.55,0.35,0.55
Overhead Carry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,1.0,0.75,0.55,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.0,0.0,0.55,0.55,0.35,0.55
Zercher Carry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,1.0,0.75,0.55,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.0,0.0,0.55,0.55,0.35,0.55
Yoke Walk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,1.0,0.75,0.55,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.0,0.0,0.55,0.55,0.35,0.55
Sandbag Carry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,1.0,0.75,0.55,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.0,0.0,0.55,0.55,0.35,0.55
Sled Push,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,1.0,0.75,0.55,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.0,0.0,0.55,0.55,0.35,0.55
Sled Pull,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,1.0,0.75,0.55,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.0,0.0,0.55,0.55,0.35,0.55
Tire Flip,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,1.0,0.75,0.55,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.55,0.0,0.0,0.55,0.55,0.35,0.55
