,Forearms,Biceps,Triceps,Deltoids,Front/Anterior Delt,Rear/Posterior Delt,Side/Lateral Delt,Neck,Traps,Upper Traps,Mid Traps,Lower Traps,Upper Back,Middle Back,Lower Back,Lats,Pectorals,Obliques,Abs,Glutes,Adductors,Abductors,Quads,Hamstrings,Shins,Calves
Viking Press,0,0,4,5,5,0,3,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bent-Over Barbell Row (overhand),3,4,0,0,0,4,0,0,0,0,4,3,5,4,3,5,0,0,0,0,0,0,0,0,0,0
Bent-Over Barbell Row (underhand),3,4,0,0,0,4,0,0,0,0,4,3,5,4,3,5,0,0,0,0,0,0,0,0,0,0
Pendlay Row,3,4,0,0,0,4,0,0,0,0,4,3,5,4,3,5,0,0,0,0,0,0,0,0,0,0
Yates Row,3,4,0,0,0,4,0,0,0,0,4,3,5,4,3,5,0,0,0,0,0,0,0,0,0,0
Chest-Supported Row,3,4,0,0,0,4,0,0,0,0,4,3,5,4,3,5,0,0,0,0,0,0,0,0,0,0
T-Bar Row,3,4,0,0,0,4,0,0,0,0,4,3,5,4,3,5,0,0,0,0,0,0,0,0,0,0
Meadows Row,3,4,0,0,0,4,0,0,0,0,4,3,5,4,3,5,0,0,0,0,0,0,0,0,0,0
Seated Cable Row,3,4,0,0,0,4,0,0,0,0,4,3,5,4,3,5,0,0,0,0,0,0,0,0,0,0
Dumbbell Row,3,4,0,0,0,4,0,0,0,0,4,3,5,4,3,5,0,0,0,0,0,0,0,0,0,0
Inverted Row,3,4,0,0,0,4,0,0,0,0,4,3,5,4,3,5,0,0,0,0,0,0,0,0,0,0
Pull-Up (overhand grip),3,5,0,0,0,0,0,0,0,0,3,2,4,4,0,5,0,0,2,0,0,0,0,0,0,0
Chin-Up (underhand grip),3,5,0,0,0,0,0,0,0,0,3,2,4,4,0,5,0,0,2,0,0,0,0,0,0,0
Neutral-Grip Pull-Up,3,5,0,0,0,0,0,0,0,0,3,2,4,4,0,5,0,0,2,0,0,0,0,0,0,0
Weighted Pull-Up,3,5,0,0,0,0,0,0,0,0,3,2,4,4,0,5,0,0,2,0,0,0,0,0,0,0
Weighted Chin-Up,3,5,0,0,0,0,0,0,0,0,3,2,4,4,0,5,0,0,2,0,0,0,0,0,0,0
Commando Pull-Up,3,5,0,0,0,0,0,0,0,0,3,2,4,4,0,5,0,0,2,0,0,0,0,0,0,0
L-Sit Pull-Up,3,5,0,0,0,0,0,0,0,0,3,2,4,4,0,5,0,0,2,0,0,0,0,0,0,0
Muscle-Up,3,5,0,0,0,0,0,0,0,0,3,2,4,4,0,5,0,0,2,0,0,0,0,0,0,0
Power Clean,4,0,0,4,0,0,2,2,0,5,3,2,0,0,0,0,0,0,3,4,0,0,4,4,3,3
Hang Power Clean,4,0,0,4,0,0,2,2,0,5,3,2,0,0,0,0,0,0,3,4,0,0,4,4,3,3
Clean Pull,4,0,0,4,0,0,2,2,0,5,3,2,0,0,0,0,0,0,3,4,0,0,4,4,3,3
Clean and Jerk,4,0,0,4,0,0,2,2,0,5,3,2,0,0,0,0,0,0,3,4,0,0,4,4,3,3
Power Snatch,4,0,0,4,0,0,2,2,0,5,3,2,0,0,0,0,0,0,3,4,0,0,4,4,3,3
Hang Power Snatch,4,0,0,4,0,0,2,2,0,5,3,2,0,0,0,0,0,0,3,4,0,0,4,4,3,3
Snatch Pull,4,0,0,4,0,0,2,2,0,5,3,2,0,0,0,0,0,0,3,4,0,0,4,4,3,3
Clean High Pull,4,0,0,4,0,0,2,2,0,5,3,2,0,0,0,0,0,0,3,4,0,0,4,4,3,3
Barbell Complex,4,0,0,4,0,0,2,2,0,5,3,2,0,0,0,0,0,0,3,4,0,0,4,4,3,3
Thruster,4,0,0,4,0,0,2,2,0,5,3,2,0,0,0,0,0,0,3,4,0,0,4,4,3,3
Devil’s Press,4,0,0,4,0,0,2,2,0,5,3,2,0,0,0,0,0,0,3,4,0,0,4,4,3,3
Farmer’s Walk,5,0,0,0,0,0,0,3,5,5,4,3,0,0,0,0,0,4,4,3,0,0,3,3,2,3
Suitcase Carry,5,0,0,0,0,0,0,3,5,5,4,3,0,0,0,0,0,4,4,3,0,0,3,3,2,3
Overhead Carry,5,0,0,0,0,0,0,3,5,5,4,3,0,0,0,0,0,4,4,3,0,0,3,3,2,3
Zercher Carry,5,0,0,0,0,0,0,3,5,5,4,3,0,0,0,0,0,4,4,3,0,0,3,3,2,3
Yoke Walk,5,0,0,0,0,0,0,3,5,5,4,3,0,0,0,0,0,4,4,3,0,0,3,3,2,3
Sandbag Carry,5,0,0,0,0,0,0,3,5,5,4,3,0,0,0,0,0,4,4,3,0,0,3,3,2,3
Sled Push,5,0,0,0,0,0,0,3,5,5,4,3,0,0,0,0,0,4,4,3,0,0,3,3,2,3
Sled Pull,5,0,0,0,0,0,0,3,5,5,4,3,0,0,0,0,0,4,4,3,0,0,3,3,2,3
Tire Flip,5,0,0,0,0,0,0,3,5,5,4,3,0,0,0,0,0,4,4,3,0,0,3,3,2,3
