Unnamed: 0,Forearms,Biceps,Triceps,Deltoids,Front/Anterior Delt,Rear/Posterior Delt,Side/Lateral Delt,Neck,Traps,Upper Traps,Mid Traps,Lower Traps,Upper Back,Middle Back,Lower Back,Lats,Pectorals,Obliques,Abs,Glutes,Adductors,Abductors,Quads,Hamstrings,Shins,Calves
Trap-Bar Deadlift (low-handle),0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
Single-Leg Romanian Deadlift,0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
Good Morning (barbell),0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
Glute-Ham Raise,0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
Walking Lunge,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.7,0.7,1.0,0.4,0.4,0.15
Reverse Lunge,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.7,0.7,1.0,0.4,0.4,0.15
Forward Lunge,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.7,0.7,1.0,0.4,0.4,0.15
Bulgarian Split Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.7,0.7,1.0,0.4,0.4,0.15
Rear-Foot-Elevated Split Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.7,0.7,1.0,0.4,0.4,0.15
"Step-Up (high box, loaded)",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.7,0.7,1.0,0.4,0.4,0.15
Single-Leg Squat / Pistol Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.7,0.7,1.0,0.4,0.4,0.15
Barbell Hip Thrust,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,1.0,0.4,0.0,0.0,0.4,0.0,0.0
Barbell Glute Bridge,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,1.0,0.4,0.0,0.0,0.4,0.0,0.0
Single-Leg Hip Thrust,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,1.0,0.4,0.0,0.0,0.4,0.0,0.0
Flat Barbell Bench Press,0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flat Dumbbell Bench Press,0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Incline Barbell Bench Press,0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Incline Dumbbell Bench Press,0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Decline Bench Press,0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Close-Grip Bench Press,0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor Press,0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Board Press / Pin Press,0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoto Press,0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weighted Push-Up,0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parallel Bar Dips (chest-focused),0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parallel Bar Dips (tricep-focused),0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ring Dips,0.0,0.0,0.7,0,0.7,0.0,0.15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing Barbell Overhead Press,0.0,0.0,0.7,0,1.0,0.0,0.4,0.0,0,0.4,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing Dumbbell Overhead Press,0.0,0.0,0.7,0,1.0,0.0,0.4,0.0,0,0.4,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seated Barbell Overhead Press,0.0,0.0,0.7,0,1.0,0.0,0.4,0.0,0,0.4,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seated Dumbbell Overhead Press,0.0,0.0,0.7,0,1.0,0.0,0.4,0.0,0,0.4,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Push Press,0.0,0.0,0.7,0,1.0,0.0,0.4,0.0,0,0.4,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Push Jerk,0.0,0.0,0.7,0,1.0,0.0,0.4,0.0,0,0.4,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Split Jerk,0.0,0.0,0.7,0,1.0,0.0,0.4,0.0,0,0.4,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Handstand Push-Up,0.0,0.0,0.7,0,1.0,0.0,0.4,0.0,0,0.4,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viking Press,0.0,0.0,0.7,0,1.0,0.0,0.4,0.0,0,0.4,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bent-Over Barbell Row (overhand),0.4,0.7,0.0,0,0.0,0.7,0.0,0.0,0,0.0,0.7,0.4,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bent-Over Barbell Row (underhand),0.4,0.7,0.0,0,0.0,0.7,0.0,0.0,0,0.0,0.7,0.4,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pendlay Row,0.4,0.7,0.0,0,0.0,0.7,0.0,0.0,0,0.0,0.7,0.4,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yates Row,0.4,0.7,0.0,0,0.0,0.7,0.0,0.0,0,0.0,0.7,0.4,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chest-Supported Row,0.4,0.7,0.0,0,0.0,0.7,0.0,0.0,0,0.0,0.7,0.4,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-Bar Row,0.4,0.7,0.0,0,0.0,0.7,0.0,0.0,0,0.0,0.7,0.4,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meadows Row,0.4,0.7,0.0,0,0.0,0.7,0.0,0.0,0,0.0,0.7,0.4,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seated Cable Row,0.4,0.7,0.0,0,0.0,0.7,0.0,0.0,0,0.0,0.7,0.4,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dumbbell Row,0.4,0.7,0.0,0,0.0,0.7,0.0,0.0,0,0.0,0.7,0.4,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inverted Row,0.4,0.7,0.0,0,0.0,0.7,0.0,0.0,0,0.0,0.7,0.4,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pull-Up (overhand grip),0.4,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.15,0.7,0.7,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chin-Up (underhand grip),0.4,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.15,0.7,0.7,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neutral-Grip Pull-Up,0.4,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.15,0.7,0.7,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weighted Pull-Up,0.4,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.15,0.7,0.7,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weighted Chin-Up,0.4,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.15,0.7,0.7,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commando Pull-Up,0.4,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.15,0.7,0.7,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-Sit Pull-Up,0.4,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.15,0.7,0.7,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muscle-Up,0.4,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.15,0.7,0.7,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Power Clean,0.7,0.0,0.0,0,0.0,0.0,0.15,0.15,0,1.0,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.7,0.4,0.4
Hang Power Clean,0.7,0.0,0.0,0,0.0,0.0,0.15,0.15,0,1.0,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.7,0.4,0.4
Clean Pull,0.7,0.0,0.0,0,0.0,0.0,0.15,0.15,0,1.0,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.7,0.4,0.4
Clean and Jerk,0.7,0.0,0.0,0,0.0,0.0,0.15,0.15,0,1.0,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.7,0.4,0.4
Power Snatch,0.7,0.0,0.0,0,0.0,0.0,0.15,0.15,0,1.0,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.7,0.4,0.4
Hang Power Snatch,0.7,0.0,0.0,0,0.0,0.0,0.15,0.15,0,1.0,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.7,0.4,0.4
Snatch Pull,0.7,0.0,0.0,0,0.0,0.0,0.15,0.15,0,1.0,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.7,0.4,0.4
Clean High Pull,0.7,0.0,0.0,0,0.0,0.0,0.15,0.15,0,1.0,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.7,0.4,0.4
Barbell Complex,0.7,0.0,0.0,0,0.0,0.0,0.15,0.15,0,1.0,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.7,0.4,0.4
Thruster,0.7,0.0,0.0,0,0.0,0.0,0.15,0.15,0,1.0,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.7,0.4,0.4
Devil’s Press,0.7,0.0,0.0,0,0.0,0.0,0.15,0.15,0,1.0,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.7,0.4,0.4
Farmer’s Walk,1.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0,1.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,0.0,0.0,0.4,0.4,0.15,0.4
Suitcase Carry,1.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0,1.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,0.0,0.0,0.4,0.4,0.15,0.4
Overhead Carry,1.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0,1.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,0.0,0.0,0.4,0.4,0.15,0.4
Zercher Carry,1.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0,1.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,0.0,0.0,0.4,0.4,0.15,0.4
Yoke Walk,1.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0,1.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,0.0,0.0,0.4,0.4,0.15,0.4
Sandbag Carry,1.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0,1.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,0.0,0.0,0.4,0.4,0.15,0.4
Sled Push,1.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0,1.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,0.0,0.0,0.4,0.4,0.15,0.4
Sled Pull,1.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0,1.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,0.0,0.0,0.4,0.4,0.15,0.4
Tire Flip,1.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0,1.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,0.0,0.0,0.4,0.4,0.15,0.4
